route_id,shape_id,stop_id,stop_name,stop_sequence,stop_lon,stop_lat,dist
130,shape130-V,6108,"PRAÇA TERMINAL ANTONIO BEZERRA, SN",1,-38.584186,-3.737485,2.55203648584982
130,shape130-V,1494,"RUA CEL CARVALHO, 3568",2,-38.584143,-3.73488,705.658649279522
130,shape130-V,4671,"AVENIDA CEL CARVALHO, SN",3,-38.584419,-3.732492,971.401152993445
130,shape130-V,1478,"AVENIDA CEL CARVALHO, 342",4,-38.584621,-3.730763,1163.8319656595
130,shape130-V,1474,"AVENIDA CEL CARVALHO, 2889",5,-38.584979,-3.728366,1431.97996140486
130,shape130-V,804,"AVENIDA CEL CARVALHO, 2639",6,-38.585641,-3.725958,1708.11908741479
130,shape130-V,798,"AVENIDA CEL CARVALHO, 2417",7,-38.586321,-3.723427,1997.92058095999
130,shape130-V,791,"AVENIDA CEL CARVALHO, 2279",8,-38.586732,-3.721884,2174.48036948169
130,shape130-V,4785,"AVENIDA ABELARDO FERREIRA, 1925",9,-38.587451,-3.719201,2481.61076401545
130,shape130-V,149,"AVENIDA CEL CARVALHO, 1751",10,-38.587799,-3.717818,2639.29938322118
130,shape130-V,148,"AVENIDA CEL CARVALHO, 1303",11,-38.588691,-3.714249,3046.10210387528
130,shape130-V,139,"AVENIDA CEL CARVALHO, 1033 A",12,-38.589429,-3.711356,3376.26985581884
130,shape130-V,19,"AVENIDA CEL CARVALHO, 597",13,-38.590279,-3.708209,3736.82446978231
130,shape130-V,17,"AVENIDA CEL CARVALHO, 205",14,-38.59076,-3.706411,3942.6515687629
130,shape130-V,12,"AVENIDA CEL CARVALHO, 163",15,-38.591445,-3.703736,4247.9665309072
130,shape130-V,10,"AVENIDA CEL CARVALHO, 1180",16,-38.590602,-3.702286,4458.67558673592
130,shape130-V,9,"AVENIDA CEL CARVALHO, 253",17,-38.589806,-3.701834,4560.79269661025
130,shape130-V,4,"AVENIDA CEL CARVALHO, SN",18,-38.588309,-3.700127,4812.69786981259
130,shape130-V,5635,"AVENIDA JOSE LIMA VERDE, 498",19,-38.586412,-3.695174,5423.30946742731
130,shape130-V,5634,"AVENIDA COSTA OESTE, SN",20,-38.585974,-3.694493,5550.90090251674
130,shape130-V,5632,"AVENIDA COSTA OESTE, 160",21,-38.583368,-3.694384,5840.61326991265
130,shape130-V,5630,"AVENIDA COSTA OESTE, 987",22,-38.580431,-3.695424,6191.67757032788
130,shape130-V,5628,"AVENIDA COSTA OESTE, 337",23,-38.578613,-3.696701,6439.18389403337
130,shape130-V,5626,"AVENIDA COSTA OESTE, SN",24,-38.576572,-3.698219,6728.25529856759
130,shape130-V,5624,"AVENIDA COSTA OESTE, 3921",25,-38.575787,-3.698768,6834.64525738458
130,shape130-V,5622,"AVENIDA COSTA OESTE, SN",26,-38.573544,-3.700264,7134.26756603044
130,shape130-V,5620,"AVENIDA COSTA OESTE, 1671",27,-38.571606,-3.701117,7369.26722946103
130,shape130-V,5617,"AVENIDA COSTA OESTE, 1301",28,-38.56983,-3.70186,7582.92191259327
130,shape130-V,5615,"AVENIDA COSTA OESTE, 1051",29,-38.569011,-3.702249,7683.5555021582
130,shape130-V,81,"RUA STA ELISA, 969",30,-38.561732,-3.705651,8594.62976967995
130,shape130-V,90,"RUA STA ELISA, 771",31,-38.559824,-3.706417,8822.79879453204
130,shape130-V,88,"RUA STA ELISA, 533",32,-38.558349,-3.707029,9000.02783399538
130,shape130-V,86,"AVENIDA PASTEUR, 206",33,-38.557867,-3.707805,9135.71652119797
